nicl2pym,,nicl2pym_2,,RuMnCl4Pyz4,,RuMnCl4Pyz4_2,,nicl2BTD_gixawe,,nicl2BTD_gixawe_2,,Fe_pym_c12,,Fe_pym_c12_2,,FeCl2BTD,,FeCl2BTD_2,,FeCl2BTD_hohaja,,FeCl2BTD_hohaja_2,,NiCl2BTD_zusundi,,NiCl2BTD_zusundi_2,,FeCl2BTD_D4,,FeCl2BTD_D4_2,,
Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),
731,0.1258707792,731,0.1502492279,731,0.03077725321,731,0.0281118881,731,0.2330815494,731,0.2205331326,731,0.01113061607,731,0.009848924354,731,0.05923275277,731,0.05435438827,731,0.9452320337,731,1.059033275,731,0.8583012819,731,1.275794864,731,0.9312212467,731,0.8626102209,
730,0.1270235628,730,0.1514573842,730,0.03133764118,730,0.02855001949,730,0.2344613969,730,0.2221254557,730,0.0112824114,730,0.009738564491,730,0.06067049131,730,0.05546289682,730,0.9518635273,730,1.066662192,730,0.861907959,730,1.278013706,730,0.9340186715,730,0.864063561,
729,0.1278399974,729,0.1525309235,729,0.03266942501,729,0.02970084362,729,0.2351443022,729,0.222881034,729,0.01123566646,729,0.009840233251,729,0.06210146472,729,0.05632670224,729,0.9565300941,729,1.071542978,729,0.8610633612,729,1.280995488,729,0.9380742311,729,0.8662955165,
728,0.1290421933,728,0.1535751224,728,0.03354878351,728,0.03064248711,728,0.2359472811,728,0.2233516127,728,0.01139450725,728,0.00993564073,728,0.0637133345,728,0.05802035332,728,0.9631896019,728,1.075582743,728,0.8631356359,728,1.281584501,728,0.9367140532,728,0.8691542149,
727,0.1294754744,727,0.1550106257,727,0.03438897803,727,0.03157378733,727,0.2363653183,727,0.2242021263,727,0.0113933105,727,0.009949066676,727,0.0648759529,727,0.05938452855,727,0.9635896683,727,1.082368374,727,0.8629063368,727,1.282286406,727,0.9390989542,727,0.8716295958,
726,0.1310259551,726,0.1563383192,726,0.03588411957,726,0.03277862817,726,0.2382433712,726,0.2247276902,726,0.01164238993,726,0.01013599243,726,0.0671678558,726,0.06117642298,726,0.9715798497,726,1.087239027,726,0.8643608093,726,1.286206007,726,0.944727838,726,0.875230968,
725,0.1317479312,725,0.1567531079,725,0.03675907105,725,0.03362458572,725,0.2377370596,725,0.2254218906,725,0.01141238399,725,0.01001773495,725,0.06858492643,725,0.06243983284,725,0.9759843349,725,1.09346211,725,0.8646690845,725,1.287263155,725,0.9465078712,725,0.8742098212,
724,0.1326747984,724,0.157997489,724,0.0381555669,724,0.0346336849,724,0.2388831228,724,0.2251598835,724,0.01161107421,724,0.01025594492,724,0.07097256184,724,0.0639724955,724,0.9805476069,724,1.099623322,724,0.8650282025,724,1.289694428,724,0.9478766918,724,0.8800668716,
723,0.1342874765,723,0.1589223295,723,0.03962152451,723,0.03635808825,723,0.2393655181,723,0.2266229689,723,0.01170528587,723,0.01029065996,723,0.07276629657,723,0.06602326035,723,0.9860721827,723,1.107126236,723,0.8658251166,723,1.290855646,723,0.9499232173,723,0.8832361102,
722,0.1343404353,722,0.1600676924,722,0.04071502388,722,0.03722348437,722,0.2392990291,722,0.2268986702,722,0.01173596922,722,0.01025603339,722,0.0749636963,722,0.06757798046,722,0.9904927015,722,1.113390803,722,0.86635077,722,1.29027164,722,0.9522275925,722,0.8841632605,
721,0.1351374835,721,0.161286056,721,0.04221783206,721,0.0387169905,721,0.239925921,721,0.2272162586,721,0.01180977002,721,0.01035924908,721,0.07663723826,721,0.06972518563,721,0.9958051443,721,1.118205786,721,0.8685335517,721,1.294513464,721,0.9554929137,721,0.8850176334,
720,0.1359903216,720,0.1616099477,720,0.04381503537,720,0.04018557072,720,0.2406672239,720,0.2275131792,720,0.01184994821,720,0.01037375536,720,0.07886209339,720,0.07177922875,720,1.000979066,720,1.122692108,720,0.8694787025,720,1.292781353,720,0.9596887827,720,0.8875102401,
719,0.1364274472,719,0.1625107974,719,0.04524870962,719,0.04142247513,719,0.2406163216,719,0.2273374498,719,0.01186520513,719,0.01038792543,719,0.08152552694,719,0.07331351191,719,1.006444216,719,1.12949574,719,0.8673455119,719,1.295879126,719,0.9617900252,719,0.8899688125,
718,0.1371958256,718,0.1636174321,718,0.04685232788,718,0.04281617701,718,0.2398891151,718,0.2270006686,718,0.01181976683,718,0.0104229264,718,0.08365466446,718,0.07539308071,718,1.013182163,718,1.135022521,718,0.8682328463,718,1.296866655,718,0.9642523527,718,0.8919178843,
717,0.1379551888,717,0.1647077352,717,0.0484701395,717,0.04476452246,717,0.2401861548,717,0.227536127,717,0.01211076789,717,0.01061482169,717,0.08637291938,717,0.07789027691,717,1.017162681,717,1.141405106,717,0.8702079058,717,1.301410556,717,0.9697156549,717,0.8961107135,
716,0.1381123066,716,0.1656910032,716,0.050509803,716,0.04606605321,716,0.2398732603,716,0.2272724956,716,0.01212037914,716,0.01068095211,716,0.08913414925,716,0.0801314041,716,1.022047877,716,1.14967978,716,0.8720910549,716,1.302898645,716,0.9714596272,716,0.8985493183,
715,0.1395789087,715,0.166288197,715,0.05233123899,715,0.04807497934,715,0.2401978821,715,0.2273668945,715,0.01215189509,715,0.01078061294,715,0.0920638442,715,0.08284696937,715,1.030891061,715,1.156240582,715,0.8721770644,715,1.302131891,715,0.9758219123,715,0.9003834724,
